org;pro;COG;cat;annotation;pattern
 429 ; 912 ; COG0022 ; C ;Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component; --||--|---||---|-------|||||||-||-|||||||----------|------------------|||-|--|-----|||||||||||-||-|-|-||||||----||-|--|||||||||||||-|-|||||-|||||||||||--|||||||-||--|--|----|--|---||||||||||||||||||||||||||||||||||||||||||||||--|--|||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||-||----|--|-|-|--|-|-|----|-----|---||---||-||-|-|||||||||-|------||||||---|||||||||||||||||||||||--||||||-|||||||||||||-||||-|||||||||||||||||||||||||||-||||||----||-------|----|-----|-|||||-----|||-||-||||-|-||--||--|--||--||||-|---||||--|-||-|---|-||--------||------------||--|-||---||||--||-------||---||---|||-|--|----||-|--|----|------||----|||-|||----------||-----|---|||||---|||||------| 
 703 ; 983 ; COG0024 ; J ;Methionine aminopeptidase; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||| 
 702 ; 825 ; COG0030 ; J ;16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity); ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 483 ; 511 ; COG0035 ; F ;Uracil phosphoribosyltransferase; ||||||||--||-||||||||--|||||||||||||||||-|-|-|--|--------------|---|||-------|-------------||||||||||||||||-|||||||||||||||||||||||||-||||||||||||||||||||||||--||||---||-||-|||||||||-||||||||||-||-|||||||--|||---||||||||||--||--|----|-|-|||||--|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||-||||||--|||||||||||||-||-||||---|--||-|||-|||--|-|||||||||-|||||-||||||--|---|-||||--|||----|||----||--|----||---|-|-|-|||||-|---|||---|-|-----||||--||||-||-||--|--||---|-|--||-||||||---|||--||-||||---|-|-||||--|-|--||||--||--||-|-|||-|||||--||-||---|||-|-||-|--||||||||||||-|---||||||----|-|-||||||-|||||||||||--||||-|-|-------|-|-||-|---||||||||||||||||||||||||---|||-----|||--------| 
 622 ; 703 ; COG0036 ; G ;Pentose-5-phosphate-3-epimerase; ------------------------------|---------------||||-----------|--------|||||||-|||--||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||--|-||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||-|||||||||||||||--|||||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||-||||||||||||||||||||||||||||||||||||-||||||||-|||||||||||||||||||||||||||||||||-|||||| 
 703 ; 1150 ; COG0037 ; J ;tRNA(Ile)-lysidine synthase TilS/MesJ; |||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||-||||| 
 575 ; 735 ; COG0039 ; C ;Malate/lactate dehydrogenase; |||||----||||-||---|||||||||||||||||||||||-||||||||-|--||||||-|||||---|||-|--||||--||-||||||||-|||-||||-||-|||-||||||||||-||||-|||||||||||||||-|||||||||-||||||--|||||||||||||||||||||||||||||||||||||||||||||||||---|||||||||--|||||||||||||||||||||||-||||-||-||||-||||||||||---||-||||||||-|||||||||||||||||||||||||||||-|-|||--|-|||||--|||-|----||||||-|||-||----|-|-|-||-|||--|--|||||||--||||||||-|||||||||||||||||--||-|||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||-||---|--||||||||||||-||||--||-|||||||-|-|||-|||||||-||||-|||-||||||||||||||||-||-|---|-||||||-||--|||||||||||||-||||||||-|||||-||||||||-||-|||||||--||||||-|||---||-|-|-|||||||---|--|--||-|||||-||||||--||||||||||||||---|--- 
 619 ; 972 ; COG0042 ; J ;tRNA-dihydrouridine synthase; ---------------------||||||||||||||||||||||||||||||||||||||||-|||||------|--|---|--||||||--|||||||||||||||||||||--|||-||||||||||||||||||-||||||||-||||||||||----|||||-----|||||||||||||||||||||||-||||||||||||||||--|||||||||||||||||||||||||-||||----||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-|||||||--||||||-|----|--|||||||||||||||||||||||||||||||||||||||-||||||||||||||-|||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||-|||||||||||||||||||-||-|||||-||||||||||||||||||||||||||||||||||||||||||||-|---||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||-||||||||||||||||||-|-||||||||||||||||||||||||||||||-||||||-|-|-||-|||-||||- 
 708 ; 712 ; COG0048 ; J ;Ribosomal protein S12; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 708 ; 712 ; COG0049 ; J ;Ribosomal protein S7; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 625 ; 944 ; COG0050 ; J ;Translation elongation factor EF-Tu, a GTPase; -----------------------------------------------------------------------------------|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 703 ; 723 ; COG0051 ; J ;Ribosomal protein S10; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||-||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||-|||||||||||||||| 
 708 ; 709 ; COG0052 ; J ;Ribosomal protein S2; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 585 ; 647 ; COG0055 ; C ;FoF1-type ATP synthase, beta subunit; --------------------------------------------------|--------------------------------||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||-|||||||||||||||||||||||||||||||||-|||||||||||||||||||--||-|||||||||||||||||||||||||||||||||||||||||-------||||||||||||||||||||||||||||||||||||--||||||||||||||--||-|||||||-||||||||-||||||||-|||--|-||||-|||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||-|||||||||||||||||||-|||||||||||||||||||||||||-||---|-----||||||||-||||||||-|||||||||||||||-|||| 
 585 ; 646 ; COG0056 ; C ;FoF1-type ATP synthase, alpha subunit; --------------------------------------------------|--------------------------------||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||-|||||||||||||||||||||||||||||||||-|||||||||||||||||||--||-|||||||||||||||||||||||||||||||||||||||||-------||||||||||||||||||||||||||||||||||||--||||||||||||||--||-|||||||-||||||||-||||||||-|||--|-||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||-|||||||||||||||||||-|||||||||||||||||||||||||-||---|-----||||||||-||||||||-|||||||||||||||-|||| 
 694 ; 1095 ; COG0057 ; G ;Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase; ||||||||-||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||-|||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||--||||||||||||||||||||||||||||||||-||||||||-||||||||||||||-||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||| 
 706 ; 741 ; COG0060 ; J ;Isoleucyl-tRNA synthetase; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 683 ; 804 ; COG0061 ; F ;NAD kinase; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||||-||||||||--||||||||||||||||||||||||||||||||||||||||||||-|----||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--|||--|-||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||-||||||||||||||-||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||--| 
 583 ; 609 ; COG0064 ; J ;Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit; ||||--|||||-|-||-----||||||||||||||||||||||||||||||||||||||||||||||------|--|-|||-|||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||---------||||||||||||------|-----|-|--------||||-|-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||--|||||||||-|||||||||-||-|||||||||||||--|||--|-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||---|-||-|----|||--|-|-||---------|---||||----|--|||||||--|------|--|--|-----||----|-|-|||||||-|------|||-|||||||||||||||||||||||||||||||||||||||||--||| 
 702 ; 713 ; COG0072 ; J ;Phenylalanyl-tRNA synthetase beta subunit; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 698 ; 1137 ; COG0073 ; J ;tRNA-binding EMAP/Myf domain; ||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||-|||-||||||-|||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 711 ; 716 ; COG0080 ; J ;Ribosomal protein L11; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 709 ; 709 ; COG0081 ; J ;Ribosomal protein L1; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 670 ; 936 ; COG0084 ; N ;Tat protein secretion system quality control protein TatD (DNase activity); |-|||||||||||||||||||-|------------------||||||||||-||||-|--|---||||||---|--|||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
